ID_zbozi,ID_lekarna,ID_vedouci,datum,pocet_prodanych_ks,nakupni_cena_CZK,prodejni_cena_CZK,marze_CZK,trzba_CZK
655,4,1,2025-02-24,9,145,167,22,198
755,4,22,2025-02-24,18,64,84,20,360
33,1,3,2025-02-07,8,278,367,89,712
575,7,23,2025-02-21,18,234,269,35,630
604,9,26,2025-02-28,1,408,576,168,168
715,14,11,2025-02-09,5,130,192,62,310
345,4,3,2025-02-13,4,203,291,88,352
619,9,26,2025-02-02,15,294,325,31,465
945,13,3,2025-02-18,10,444,592,148,1480
907,28,12,2025-02-19,7,380,411,31,217
678,8,25,2025-02-10,3,457,528,71,213
104,13,9,2025-02-15,12,103,125,22,264
215,22,9,2025-02-23,3,331,442,111,333
547,24,8,2025-02-06,15,214,251,37,555
948,21,23,2025-02-18,8,370,442,72,576
787,25,2,2025-02-08,2,432,515,83,166
275,3,7,2025-02-19,11,128,172,44,484
406,29,30,2025-02-21,15,93,109,16,240
253,24,18,2025-02-18,9,402,528,126,1134
920,19,13,2025-02-12,8,90,115,25,200
94,25,2,2025-02-28,4,98,131,33,132
812,22,14,2025-02-20,3,217,265,48,144
480,17,9,2025-02-18,1,368,506,138,138
699,29,18,2025-02-25,9,413,553,140,1260
115,10,14,2025-02-06,15,21,31,10,150
897,24,9,2025-02-17,6,279,408,129,774
892,21,10,2025-02-27,17,331,377,46,782
383,25,6,2025-02-18,17,490,515,25,425
332,16,1,2025-02-04,12,469,700,231,2772
827,10,8,2025-02-02,8,469,612,143,1144
81,3,24,2025-02-16,3,409,527,118,354
129,5,22,2025-02-16,18,104,122,18,324
894,20,14,2025-02-07,18,406,560,154,2772
206,23,10,2025-02-13,12,244,355,111,1332
463,4,8,2025-02-08,3,193,204,11,33
568,8,19,2025-02-08,1,56,77,21,21
61,8,3,2025-02-02,11,56,72,16,176
286,22,16,2025-02-07,18,87,120,33,594
904,19,19,2025-02-16,8,421,532,111,888
417,7,4,2025-02-04,14,201,249,48,672
479,28,24,2025-02-02,4,51,63,12,48
348,26,28,2025-02-04,8,118,134,16,128
460,5,14,2025-02-06,9,256,298,42,378
946,3,15,2025-02-26,18,70,75,5,90
554,27,1,2025-02-03,8,105,129,24,192
493,7,28,2025-02-13,2,104,127,23,46
400,9,30,2025-02-26,15,166,206,40,600
981,24,26,2025-02-18,16,99,112,13,208
223,2,19,2025-02-24,18,51,71,20,360
59,2,19,2025-02-16,17,490,703,213,3621
162,2,17,2025-02-03,6,55,72,17,102
692,28,8,2025-02-13,4,475,621,146,584
593,20,2,2025-02-20,3,234,315,81,243
579,17,11,2025-02-09,7,362,497,135,945
245,9,13,2025-02-05,10,254,303,49,490
770,30,3,2025-02-01,15,338,507,169,2535
103,3,18,2025-02-07,17,155,172,17,289
358,29,3,2025-02-08,12,165,185,20,240
854,18,23,2025-02-10,20,433,582,149,2980
9,22,27,2025-02-18,10,497,670,173,1730
962,29,5,2025-02-09,4,475,522,47,188
567,5,9,2025-02-10,20,127,174,47,940
209,22,21,2025-02-28,9,278,353,75,675
928,30,28,2025-02-02,3,344,427,83,249
284,2,1,2025-02-11,5,346,516,170,850
166,24,15,2025-02-18,14,307,324,17,238
78,29,23,2025-02-05,18,38,54,16,288
597,18,5,2025-02-14,5,41,49,8,40
921,30,26,2025-02-28,2,480,581,101,202
699,8,22,2025-02-04,12,419,546,127,1524
896,14,20,2025-02-24,5,493,724,231,1155
886,6,26,2025-02-26,6,471,582,111,666
184,24,30,2025-02-11,14,430,581,151,2114
753,26,8,2025-02-09,6,423,578,155,930
392,28,2,2025-02-28,16,133,152,19,304
941,15,12,2025-02-10,8,134,142,8,64
198,13,11,2025-02-09,3,415,488,73,219
657,17,13,2025-02-22,18,189,278,89,1602
119,29,9,2025-02-06,19,155,165,10,190
611,14,12,2025-02-24,11,243,321,78,858
524,4,13,2025-02-19,7,150,160,10,70
447,1,17,2025-02-26,18,371,510,139,2502
760,24,22,2025-02-07,12,240,260,20,240
681,30,11,2025-02-20,11,359,514,155,1705
738,29,10,2025-02-17,10,361,445,84,840
413,23,10,2025-02-18,5,118,146,28,140
963,13,22,2025-02-24,6,335,438,103,618
416,18,27,2025-02-01,10,166,190,24,240
805,19,20,2025-02-21,11,258,322,64,704
692,7,17,2025-02-16,6,357,388,31,186
528,22,21,2025-02-20,11,67,95,28,308
770,8,22,2025-02-10,8,432,492,60,480
26,2,8,2025-02-16,20,455,635,180,3600
467,14,29,2025-02-21,19,119,163,44,836
394,16,13,2025-02-08,5,355,483,128,640
915,25,28,2025-02-25,4,418,519,101,404
181,26,23,2025-02-17,15,45,59,14,210
940,28,4,2025-02-15,5,430,541,111,555
544,18,20,2025-02-11,15,333,472,139,2085
914,17,14,2025-02-27,18,248,361,113,2034
762,28,16,2025-02-15,9,404,469,65,585
653,9,25,2025-02-25,17,268,357,89,1513
282,15,3,2025-02-23,10,140,164,24,240
328,29,18,2025-02-03,5,97,112,15,75
711,5,23,2025-02-07,3,232,286,54,162
556,15,14,2025-02-02,7,446,553,107,749
927,25,19,2025-02-23,1,458,662,204,204
590,13,16,2025-02-01,12,172,239,67,804
874,29,27,2025-02-14,18,402,555,153,2754
820,20,29,2025-02-08,16,132,155,23,368
498,1,13,2025-02-11,13,390,438,48,624
479,30,5,2025-02-20,18,33,48,15,270
607,19,22,2025-02-01,3,349,434,85,255
